"","V1","mxm_id","artist_uri","artist_name","lyrics_name","lyrics_topic","release_date","artist_playlist_frequency","artist_topic","release_year","release_year_bin","artist_playlist_frequency_bin","error","Is a match ?","Sandy","Jay","Andrew","Keep"
"1",0,4116102,"48OvglGiae55NbGoi9rkXL","Commissioned","Let Me Tell It",6,1990-08-21,131,13,1990,10,6,2.120970532,"O","O","O","o",""
"2",1,80257632,"5ZX240kHNQyr3jC7JphHIH","Kandle","Gimme a Pill",1,2014-03-04,35,22,2014,12,5,1.389273398,"?","O","O","x",""
"3",2,2241308,"2ho340nQGxHU6Jb28wXBMW","Young Heart Attack","Sick Of Doing Time",7,2003-12-08,1,0,2003,11,0,1.074920175,"O","O","O","o",""
"4",3,204336669,"4iUcZ04rEUbrhWw65oUsTp","Conner Bobay","Shut It Down",5,2020-10-31,7,24,2020,13,4,0.8828030195,"O","O","O","o",""
"5",4,34952275,"5TtbFwlDwHrOgfgFwRGczW","Billy Crockett","Portrait of Love",6,1989-01-01,4,6,1989,9,3,0.7279987209,"O","O","O","o",""
"6",5,17390586,"6U8aUHDeArzovgvZazAK0z","Stokka & Madbuddy","Future",0,2012-05-28,2,14,2012,12,1,0.6041121398,"Sandy","X","X","x",""
"7",6,9223300,"2KpCZazKx8c2qBDtNXvmvf","Richie Furay","Satisfied",6,1979-09-29,3,16,1979,8,2,0.5134962164,"O","O","O","o",""
"8",7,149782763,"0DAqhikcMKLo2lPADVz2fs","Jay & The Americans","Hushabye (Edit)",3,1969-03-11,1659,3,1969,7,6,0.4395165191,"O","O","O","o",""
"9",8,99962781,"6bHSJldq5J4lYowHOm9OOX","Eddie Fisher","The Little Drummer Boy",4,1956-01-01,49,10,1956,6,5,0.3772018023,"O","O","O","o",""
"10",9,136930153,"4qidy3ZjjN9oQSSAXYkOT1","Ophthalamia","Sacrifice",8,2011-11-08,1,18,2011,12,0,0.3337528685,"Sandy","X","X","x",""
"11",10,85912872,"6ETpDuVbzktDEfNza1CN8i","Macka Diamond","Done A Ready",2,2006-01-01,70,19,2006,11,6,0.2897226511,"O","?","x","x",""
"12",11,57005765,"4OWTlYl5kkhaZEsyjUhouC","Isham Jones","For All We Know",6,1930-01-01,12,5,1930,4,4,0.2542467841,"O","O","O","o",""
"13",12,99567690,"4Ws2otunReOa6BbwxxpCt6","Benny Benassi","Every Single Day Feat. Dhany",6,1900-01-01,9767,7,1900,1,6,0.2267634219,"O","O","O","o",""
"14",13,151085454,"6scS2RlUYZHwgNWfMfviOL","Retirement Party","That's How People Die",1,2018-05-25,4,8,2018,12,3,0.202292541,"O","O","O","o",""
"15",14,134245347,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","God bless America",6,1942-01-01,268,23,1942,5,6,0.1832423398,"O","O","O","o",""
