"","participant_ID","item_ID","ACHIEVEMENT","BENEVOLENCE","CONFORMITY","HEDONISM","POWER","SECURITY","SELF","STIMULATION","TRADITION","UNIVERSALISM"
"1","546e3778fdf99b2bc7ebcff6","134245347",79,94,100,0,83,100,100,0,100,73
"2","546e3778fdf99b2bc7ebcff6","149782763",-93,-90,0,0,0,70,-97,-74,52,0
"3","546e3778fdf99b2bc7ebcff6","151085454",0,0,0,0,0,0,-88,-68,-99,0
"4","546e3778fdf99b2bc7ebcff6","152156851",0,0,-100,100,64,-93,77,100,0,0
"5","546e3778fdf99b2bc7ebcff6","16074172",56,0,0,0,0,0,-37,52,0,0
"6","546e3778fdf99b2bc7ebcff6","17997657",0,-100,0,0,0,-100,-15,0,-87,-87
"7","546e3778fdf99b2bc7ebcff6","204336669",0,-96,-95,66,0,-86,-46,-30,-83,-98
"8","546e3778fdf99b2bc7ebcff6","205113268",98,0,-66,91,41,0,64,100,0,92
"9","546e3778fdf99b2bc7ebcff6","2241308",-30,40,-9,30,-20,-28,40,70,10,21
"10","546e3778fdf99b2bc7ebcff6","34952275",42,0,-57,0,19,75,73,59,0,0
"11","546e3778fdf99b2bc7ebcff6","4116102",-27,83,68,-42,20,78,-34,57,80,-91
"12","546e3778fdf99b2bc7ebcff6","55713838",10,30,33,-17,-50,-43,30,21,53,-42
"13","546e3778fdf99b2bc7ebcff6","57005765",-86,46,0,34,0,0,-34,41,0,-74
"14","546e3778fdf99b2bc7ebcff6","61210999",-58,-46,-78,-45,-39,-55,-41,19,-29,-33
"15","546e3778fdf99b2bc7ebcff6","80257632",-81,-88,-66,-73,20,-70,-77,-77,-11,-75
"16","546e3778fdf99b2bc7ebcff6","9223300",-33,43,18,20,-40,46,45,30,30,14
"17","546e3778fdf99b2bc7ebcff6","97622225",37,55,47,30,-52,59,47,52,73,75
"18","546e3778fdf99b2bc7ebcff6","99526020",13,-34,-19,64,-39,-36,38,85,-39,-52
"19","546e3778fdf99b2bc7ebcff6","99567690",-98,0,-88,85,0,0,73,81,-100,0
"20","546e3778fdf99b2bc7ebcff6","99962781",-31,66,45,-53,-78,29,-63,23,92,70
"21","559b1e92fdf99b426abb6227","134245347",15,0,2,1,-10,18,60,1,24,15
"22","559b1e92fdf99b426abb6227","149782763",1,0,0,2,0,25,1,1,1,14
"23","559b1e92fdf99b426abb6227","151085454",0,0,-20,-1,0,0,20,25,1,30
"24","559b1e92fdf99b426abb6227","152156851",-1,0,-10,35,-1,0,20,15,-15,0
"25","559b1e92fdf99b426abb6227","16074172",15,0,0,0,0,1,20,30,0,1
"26","559b1e92fdf99b426abb6227","17997657",0,0,-1,1,0,0,0,1,25,1
"27","559b1e92fdf99b426abb6227","204336669",23,0,-10,50,32,0,0,-1,-30,1
"28","559b1e92fdf99b426abb6227","205113268",45,0,-15,0,20,0,15,0,0,0
"29","559b1e92fdf99b426abb6227","2241308",20,-18,-35,2,43,-16,59,2,2,2
"30","559b1e92fdf99b426abb6227","34952275",0,0,0,0,0,1,-1,0,0,0
"31","559b1e92fdf99b426abb6227","4116102",25,50,0,0,-14,30,0,0,25,25
"32","559b1e92fdf99b426abb6227","55713838",10,0,5,0,0,0,25,0,21,0
"33","559b1e92fdf99b426abb6227","57005765",0,0,-1,0,-20,0,20,-1,25,10
"34","559b1e92fdf99b426abb6227","61210999",0,0,-20,0,-1,0,15,-1,-25,0
"35","559b1e92fdf99b426abb6227","80257632",-54,-44,-61,70,-26,-58,19,65,-58,52
"36","559b1e92fdf99b426abb6227","9223300",0,0,-10,0,0,-1,0,0,25,15
"37","559b1e92fdf99b426abb6227","97622225",0,-1,0,-1,0,0,0,0,0,15
"38","559b1e92fdf99b426abb6227","99526020",0,-1,-15,25,0,0,0,20,0,0
"39","559b1e92fdf99b426abb6227","99567690",0,1,-20,35,0,35,25,0,-10,0
"40","559b1e92fdf99b426abb6227","99962781",0,0,-5,1,21,0,30,0,15,15
"41","55a47692fdf99b126e625257","134245347",-81,13,20,-100,-45,29,-100,-100,100,-72
"42","55a47692fdf99b126e625257","149782763",0,87,39,0,0,82,21,83,89,0
"43","55a47692fdf99b126e625257","151085454",0,0,-68,41,0,0,28,100,-70,0
"44","55a47692fdf99b126e625257","152156851",0,0,14,100,0,0,11,100,-23,0
"45","55a47692fdf99b126e625257","16074172",73,29,0,75,10,0,51,95,13,0
"46","55a47692fdf99b126e625257","17997657",48,0,27,92,0,0,39,0,66,0
"47","55a47692fdf99b126e625257","204336669",26,0,-100,100,51,0,53,86,-100,0
"48","55a47692fdf99b126e625257","205113268",36,71,0,19,0,0,81,48,0,77
"49","55a47692fdf99b126e625257","2241308",0,0,-62,84,0,0,27,100,-59,0
"50","55a47692fdf99b126e625257","34952275",0,0,34,57,0,0,61,0,0,0
"51","55a47692fdf99b126e625257","4116102",64,52,51,-72,0,0,0,88,56,0
"52","55a47692fdf99b126e625257","55713838",15,16,-67,0,0,0,0,87,-67,0
"53","55a47692fdf99b126e625257","57005765",0,48,31,41,0,34,15,65,20,0
"54","55a47692fdf99b126e625257","61210999",0,59,-38,0,0,-29,31,0,0,33
"55","55a47692fdf99b126e625257","80257632",0,0,0,0,0,37,0,73,0,0
"56","55a47692fdf99b126e625257","9223300",0,0,0,100,0,0,38,0,0,0
"57","55a47692fdf99b126e625257","97622225",0,0,0,0,0,0,0,80,0,0
